Prompt_Id,Reply_Id,condition,reply_text
P01,R01_A,A,Could you please provide more details about the nature of your question? I'll do my best to assist you.
P01,R01_B,B,"Thank you for choosing Temu! How can I help you today? If you're having an issue, please select the option that best matches your concern so we can assist right away."
P02,R02_A,A,"Open Your Orders and select the item, then choose “Problem with order” to request a replacement or refund per policy."
P02,R02_B,B,We're sorry about the mix-up. Please tap Select order to confirm the affected order; we'll guide you to a free replacement or refund as quickly as possible.
P03,R03_A,A,"If you receive a damaged or defective item, request a free replacement or a full refund through Your Orders. For bulky items from a third?party seller, you can request a home pickup."
P03,R03_B,B,We sincerely regret the inconvenience. Please confirm the order you're referring to via Select order; we'll arrange a replacement or refund immediately after verification.
P04,R04_A,A,"Check the shipment status in Your Orders. If it shows delivered but you didn't receive it, select “Item not received” to start a claim."
P04,R04_B,B,We understand you haven't received your package and we're here to help. Click Select order so we can identify the correct parcel and investigate with the carrier.
P05,R05_A,A,"Track your order in Your Orders for the latest delivery estimate. If a delivery option appears, follow the prompts or contact the carrier."
P05,R05_B,B,We've marked your issue as urgent. I'll look into the logistics to expedite it. Please Select order so we can push the right shipment and keep you updated.
P06,R06_A,A,"I'm sorry to hear you've had a frustrating experience. If your package never arrived or the item is faulty, you can request a refund through Your Orders or contact customer service for further assistance."
P06,R06_B,B,"We apologize for the inconvenience and we're committed to helping. Please Select order to start the refund quickly, we'll address your concerns thoughtfully."
P07,R07_A,A,"Amazon typically offers a 30?day return period, which may vary by category. For exceptions, please contact customer service with your specific situation."
P07,R07_B,B,We're sorry for the trouble and understand your wish to return. Please confirm the order via Select order so we can review eligibility and do our best to help.
P08,R08_A,A,"If available, choose Change delivery on the order's shipment page or contact the carrier. Some shipments can't be changed once processing begins."
P08,R08_B,B,"If your order isn't packed yet, go to Your Orders, open the order, tap Edit to update the address/phone/ZIP. If it's already packed or shipped, we'll help contact the carrier to request a reroute."
P09,R09_A,A,"You can cancel from Your Orders if the item hasn't entered the shipping process yet. If cancellation isn't available, you can refuse delivery or return the item."
P09,R09_B,B,"Open Your Orders, choose the order, and tap Cancel items. If packing has started, we'll try our best or help you return it for a fast refund."
P10,R10_A,A,"If upgrade options are available, you'll see them at checkout or under Delivery options in Your Orders."
P10,R10_B,B,"I know you're eager to receive it. To upgrade, sign in, go to Your orders, select the order, tap Need to change shipping speed (if shown), then submit. You'll be redirected to pay for express delivery."
P11,R11_A,A,"Return eligibility depends on item category and timing. Start a return in Your Orders; if an exception is possible, the system or support will advise."
P11,R11_B,B,We're sorry for the inconvenience. Please Select order so we can review the timeline and try to find the best solution for you.
P12,R12_A,A,"Start a return or replacement from Your Orders and select the desired size or color, if available."
P12,R12_B,B,Happy to help with an exchange. Please Select order and choose the new size/color; we'll process it as soon as the return is confirmed.
P13,R13_A,A,"Open Your Orders, select the item, and choose “Wrong or damaged packaging/Partial refund” and upload photos. We'll review per policy."
P13,R13_B,B,Sorry about the packaging. Select order and upload a quick photo; we'll review and issue a partial refund or other solution where eligible.
P14,R14_A,A,Price?match isn't available for most items. Check the product's policy and return options in Your Orders if eligible.
P14,R14_B,B,Thanks for checking. Please share the order via Select order; we'll review the purchase window and advise on available options.
P15,R15_A,A,"At checkout, confirm code eligibility and expiration. If it still won't apply, try a different payment method or contact support."
P15,R15_B,B,We can help apply your code. Please Select order (or cart) details and the promo code text; we'll check eligibility and help you apply it.
P16,R16_A,A,"Verify billing details, available balance, and 3?D Secure/SCA prompts. Try another payment method or update your default payment in Your Account."
P16,R16_B,B,"Let's fix this together. Check card details, balance, and bank authorization. If it still fails, Select order and we'll help with alternate payment options."
P17,R17_A,A,"Use account recovery to verify your identity, then reset your password. If issues persist, contact support for verification."
P17,R17_B,B,"We're here to help you back in. Use Account recovery to verify your identity; if you need assistance, Select order/account and we'll guide the next steps."
P18,R18_A,A,"If the order hasn't shipped, cancel in Your Orders and place a new order. If shipped, contact the carrier to request a reroute, if available."
P18,R18_B,B,"I understand, that's stressful. If not shipped, cancel in Your orders and reorder to the correct address. If shipped, we'll help you contact the carrier to try a reroute."
P19,R19_A,A,"Open Subscriptions, select the plan, and choose Cancel. A confirmation will appear in your account."
P19,R19_B,B,"We can take care of that. Go to Subscriptions, tap the plan, choose Cancel. We'll confirm and ensure no further charges."
P20,R20_A,A,I'm afraid I can't respond to that request. I'd be happy to help you find what you're looking for if you have any other questions.
P20,R20_B,B,We truly understand your frustration and apologize for any inconvenience. Could you briefly describe the issue or Select order? We'll do everything we can to assist.
P21,R21_A,A,Shipping availability depends on the item and address. Please check the product page for options to your country.
P21,R21_B,B,"We do offer shipping to many countries, please share your location so I can confirm and let you know the cost."
P22,R22_A,A,Some items ship separately due to stock location. You can view each tracking number in Your Orders.
P22,R22_B,B,"It looks like your order was split, don't worry, I'll check both tracking numbers and let you know when each will arrive."
P23,R23_A,A,"If the item is under warranty, you can start a claim from Your Orders."
P23,R23_B,B,"Sorry to hear the product isn't working, please send your order number so we can help with a warranty claim."
P24,R24_A,A,Gift receipts can be added before dispatch in the order settings.
P24,R24_B,B,"Sure, I can help hide the price, could you give me the order number so I can add a gift receipt?"
P25,R25_A,A,Store credit can be selected during the return process if available.
P25,R25_B,B,"Yes, I can issue store credit, please provide your order details so we can start."
P26,R26_A,A,"Thanks for contacting us. Please open Your Orders and select the delayed item. We’ll review promptly; we can request an expedite or courtesy credit if eligible. If anything isn’t eligible, I’ll outline the next available option."
P26,R26_B,B,"Thanks for your patience let’s get this sorted. In the app, go to open Orders and select the delayed item. As soon as I confirm, I can request an expedite or courtesy credit if eligible. I’ll keep you updated here until it’s resolved."
P27,R27_A,A,"Happy to help with this. Please select 'Wrong item' to start an exchange. We’ll review promptly; we can arrange a replacement or refund per policy. If anything isn’t eligible, I’ll outline the next available option."
P27,R27_B,B,"I hear you and I’ll take care of this. In the app, go to select 'Wrong item' to start an exchange. As soon as I confirm, I can arrange a replacement or refund per policy. I’ll keep you updated here until it’s resolved."
P28,R28_A,A,"I appreciate the details. Please choose 'Replace or refund' for this order. We’ll review promptly; we'll send a replacement once confirmed. If anything isn’t eligible, I’ll outline the next available option."
P28,R28_B,B,"I see what happened and I’ll fix it with you. In the app, go to choose 'Replace or refund' for this order. As soon as I confirm, I'll send a replacement once confirmed. I’ll keep you updated here until it’s resolved."
P29,R29_A,A,"Thanks for contacting us. Please open the order details and share the lower-price link. We’ll review promptly; we'll review and refund any difference if the policy applies. If anything isn’t eligible, I’ll outline the next available option."
P29,R29_B,B,"Thanks for your patience let’s get this sorted. In the app, go to open the order details and share the lower-price link. As soon as I confirm, I'll review and refund any difference if the policy applies. I’ll keep you updated here until it’s resolved."
P30,R30_A,A,"Happy to help with this. Please choose 'Problem with order' → 'Refund'. We’ll review promptly; we'll review an exception based on your details. If anything isn’t eligible, I’ll outline the next available option."
P30,R30_B,B,"I hear you and I’ll take care of this. In the app, go to choose 'Problem with order' → 'Refund'. As soon as I confirm, I'll review an exception based on your details. I’ll keep you updated here until it’s resolved."
P31,R31_A,A,"I appreciate the details. Please go to Account → Security to start verification. We’ll review promptly; access is restored after verification completes. If anything isn’t eligible, I’ll outline the next available option."
P31,R31_B,B,"I see what happened and I’ll fix it with you. In the app, go to go to Account → Security to start verification. As soon as I confirm, access is restored after verification completes. I’ll keep you updated here until it’s resolved."
P32,R32_A,A,"Thanks for contacting us. Please open Returns and pick a new pickup time. We’ll review promptly; we'll confirm the next available slot. If anything isn’t eligible, I’ll outline the next available option."
P32,R32_B,B,"Thanks for your patience let’s get this sorted. In the app, go to open Returns and pick a new pickup time. As soon as I confirm, I'll confirm the next available slot. I’ll keep you updated here until it’s resolved."
P33,R33_A,A,"Happy to help with this. Please report the damage with photos in Your Orders. We’ll review promptly; a partial refund is possible if eligible. If anything isn’t eligible, I’ll outline the next available option."
P33,R33_B,B,"I hear you and I’ll take care of this. In the app, go to report the damage with photos in Orders. As soon as I confirm, a partial refund is possible if eligible. I’ll keep you updated here until it’s resolved."
P34,R34_A,A,"I appreciate the details. Please open Payment issues → Customs fees and upload the receipt. We’ll review promptly; we reimburse qualifying fees under policy. If anything isn’t eligible, I’ll outline the next available option."
P34,R34_B,B,"I see what happened and I’ll fix it with you. In the app, go to open Payment issues → Customs fees and upload the receipt. As soon as I confirm, we reimburse qualifying fees under policy. I’ll keep you updated here until it’s resolved."
P35,R35_A,A,"Thanks for contacting us. Please open delivery preferences for the order. We’ll review promptly; removal is possible if the carrier allows. If anything isn’t eligible, I’ll outline the next available option."
P35,R35_B,B,"Thanks for your patience let’s get this sorted. In the app, go to open delivery preferences for the order. As soon as I confirm, removal is possible if the carrier allows. I’ll keep you updated here until it’s resolved."
P36,R36_A,A,"Happy to help with this. Please share the order number and a short summary. We’ll review promptly; we'll connect you with a supervisor. If anything isn’t eligible, I’ll outline the next available option."
P36,R36_B,B,"I hear you and I’ll take care of this. In the app, go to share the order number and a short summary. As soon as I confirm, I'll connect you with a supervisor. I’ll keep you updated here until it’s resolved."
P37,R37_A,A,"I appreciate the details. Please open the preorder in Your Orders. We’ll review promptly; we can update the ETA or cancel with a refund. If anything isn’t eligible, I’ll outline the next available option."
P37,R37_B,B,"I see what happened and I’ll fix it with you. In the app, go to open the preorder in Orders. As soon as I confirm, I can update the ETA or cancel with a refund. I’ll keep you updated here until it’s resolved."
P38,R38_A,A,"Thanks for contacting us. Please start a return from Your Orders. We’ll review promptly; a prepaid label shows when applicable. If anything isn’t eligible, I’ll outline the next available option."
P38,R38_B,B,"Thanks for your patience let’s get this sorted. In the app, go to start a return from Orders. As soon as I confirm, a prepaid label shows when applicable. I’ll keep you updated here until it’s resolved."
P39,R39_A,A,"Happy to help with this. Please start a refund request from Your Orders. We’ll review promptly; we'll process it once it meets policy. If anything isn’t eligible, I’ll outline the next available option."
P39,R39_B,B,"I hear you and I’ll take care of this. In the app, go to start a refund request from Orders. As soon as I confirm, I'll process it once it meets policy. I’ll keep you updated here until it’s resolved."
P40,R40_A,A,"I appreciate the details. Please open the charge in Payments → Transactions. We’ll review promptly; we'll guide you and you can also dispute with your bank if needed. If anything isn’t eligible, I’ll outline the next available option."
P40,R40_B,B,"I see what happened and I’ll fix it with you. In the app, go to open the charge in Payments → Transactions. As soon as I confirm, I'll guide you and you can also dispute with your bank if needed. I’ll keep you updated here until it’s resolved."
P41,R41_A,A,"Thanks for contacting us. Please go to Your Orders → Change delivery address. We’ll review promptly; updates are possible before the parcel ships. If anything isn’t eligible, I’ll outline the next available option."
P41,R41_B,B,"Thanks for your patience let’s get this sorted. In the app, go to go to Orders → Change delivery address. As soon as I confirm, updates are possible before the parcel ships. I’ll keep you updated here until it’s resolved."
P42,R42_A,A,"Happy to help with this. Please choose 'Problem with order' → 'Refund'. We’ll review promptly; we'll review an exception based on your details. If anything isn’t eligible, I’ll outline the next available option."
P42,R42_B,B,"I hear you and I’ll take care of this. In the app, go to choose 'Problem with order' → 'Refund'. As soon as I confirm, I'll review an exception based on your details. I’ll keep you updated here until it’s resolved."
P43,R43_A,A,"I appreciate the details. Please choose 'Replace or refund' for this order. We’ll review promptly; we'll send a replacement once confirmed. If anything isn’t eligible, I’ll outline the next available option."
P43,R43_B,B,"I see what happened and I’ll fix it with you. In the app, go to choose 'Replace or refund' for this order. As soon as I confirm, I'll send a replacement once confirmed. I’ll keep you updated here until it’s resolved."
P44,R44_A,A,"Thanks for contacting us. Please open Your Orders for this item. We’ll review promptly; we'll help with the best available option within policy. If anything isn’t eligible, I’ll outline the next available option."
P44,R44_B,B,"Thanks for your patience let’s get this sorted. In the app, go to open Orders for this item. As soon as I confirm, I'll help with the best available option within policy. I’ll keep you updated here until it’s resolved."
P45,R45_A,A,"Happy to help with this. Please attach the photos/receipts you already provided. We’ll review promptly; we'll proceed without asking for more unless required. If anything isn’t eligible, I’ll outline the next available option."
P45,R45_B,B,"I hear you and I’ll take care of this. In the app, go to attach the photos/receipts you already provided. As soon as I confirm, I'll proceed without asking for more unless required. I’ll keep you updated here until it’s resolved."
P46,R46_A,A,"I appreciate the details. Please share your case ID in this chat. We’ll review promptly; we'll prioritize the ticket and post updates here. If anything isn’t eligible, I’ll outline the next available option."
P46,R46_B,B,"I see what happened and I’ll fix it with you. In the app, go to share your case ID in this chat. As soon as I confirm, I'll prioritize the ticket and post updates here. I’ll keep you updated here until it’s resolved."
P47,R47_A,A,"Thanks for contacting us. Please choose 'Problem with order' for the item. We’ll review promptly; we'll either resolve the issue or process a refund. If anything isn’t eligible, I’ll outline the next available option."
P47,R47_B,B,"Thanks for your patience let’s get this sorted. In the app, go to choose 'Problem with order' for the item. As soon as I confirm, I'll either resolve the issue or process a refund. I’ll keep you updated here until it’s resolved."
P48,R48_A,A,"Happy to help with this. Please confirm a best callback number and time window. We’ll review promptly; a manager will call you back. If anything isn’t eligible, I’ll outline the next available option."
P48,R48_B,B,"I hear you and I’ll take care of this. In the app, go to confirm a best callback number and time window. As soon as I confirm, a manager will call you back. I’ll keep you updated here until it’s resolved."
P49,R49_A,A,"I appreciate the details. Please share the policy you think applies. We’ll review promptly; we'll quote the clause and review an exception. If anything isn’t eligible, I’ll outline the next available option."
P49,R49_B,B,"I see what happened and I’ll fix it with you. In the app, go to share the policy you think applies. As soon as I confirm, I'll quote the clause and review an exception. I’ll keep you updated here until it’s resolved."
P50,R50_A,A,"Thanks for contacting us. Please start a return request and add a note about the timing. We’ll review promptly; we'll review a late-return exception. If anything isn’t eligible, I’ll outline the next available option."
P50,R50_B,B,"Thanks for your patience let’s get this sorted. In the app, go to start a return request and add a note about the timing. As soon as I confirm, I'll review a late-return exception. I’ll keep you updated here until it’s resolved."
P51,R51_A,A,"Happy to help with this. Please open Your Orders → Cancel items. We’ll review promptly; we'll waive fees when policy allows. If anything isn’t eligible, I’ll outline the next available option."
P51,R51_B,B,"I hear you and I’ll take care of this. In the app, go to open Orders → Cancel items. As soon as I confirm, I'll waive fees when policy allows. I’ll keep you updated here until it’s resolved."
P52,R52_A,A,"I appreciate the details. Please share your order number. We’ll review promptly; we can add store credit if eligible. If anything isn’t eligible, I’ll outline the next available option."
P52,R52_B,B,"I see what happened and I’ll fix it with you. In the app, go to share your order number. As soon as I confirm, I can add store credit if eligible. I’ll keep you updated here until it’s resolved."
P53,R53_A,A,"Thanks for contacting us. Please open the tracking page and pick 'Hold/Reroute' if available. We’ll review promptly; we'll request the change if the carrier permits. If anything isn’t eligible, I’ll outline the next available option."
P53,R53_B,B,"Thanks for your patience let’s get this sorted. In the app, go to open the tracking page and pick 'Hold/Reroute' if available. As soon as I confirm, I'll request the change if the carrier permits. I’ll keep you updated here until it’s resolved."
P54,R54_A,A,"Happy to help with this. Please start verification from Account → Security. We’ll review promptly; we'll speed it up and keep you posted. If anything isn’t eligible, I’ll outline the next available option."
P54,R54_B,B,"I hear you and I’ll take care of this. In the app, go to start verification from Account → Security. As soon as I confirm, I'll speed it up and keep you posted. I’ll keep you updated here until it’s resolved."
P55,R55_A,A,"I appreciate the details. Please provide the relevant order numbers in one message. We’ll review promptly; we'll review them together and process eligible refunds. If anything isn’t eligible, I’ll outline the next available option."
P55,R55_B,B,"I see what happened and I’ll fix it with you. In the app, go to provide the relevant order numbers in one message. As soon as I confirm, I'll review them together and process eligible refunds. I’ll keep you updated here until it’s resolved."
P56,R56_A,A,"Thanks for contacting us. Please open the charge in Payments → Transactions. We’ll review promptly; we'll guide you and you can also dispute with your bank if needed. If anything isn’t eligible, I’ll outline the next available option."
P56,R56_B,B,"Thanks for your patience let’s get this sorted. In the app, go to open the charge in Payments → Transactions. As soon as I confirm, I'll guide you and you can also dispute with your bank if needed. I’ll keep you updated here until it’s resolved."
P57,R57_A,A,"Happy to help with this. Please open Your Orders and choose your preferred option. We’ll review promptly; we can issue credit or send a replacement. If anything isn’t eligible, I’ll outline the next available option."
P57,R57_B,B,"I hear you and I’ll take care of this. In the app, go to open Orders and choose your preferred option. As soon as I confirm, I can issue credit or send a replacement. I’ll keep you updated here until it’s resolved."
P58,R58_A,A,"I appreciate the details. Please upload photos that show the color issue. We’ll review promptly; we can offer a partial refund or exchange. If anything isn’t eligible, I’ll outline the next available option."
P58,R58_B,B,"I see what happened and I’ll fix it with you. In the app, go to upload photos that show the color issue. As soon as I confirm, I can offer a partial refund or exchange. I’ll keep you updated here until it’s resolved."
P59,R59_A,A,"Thanks for contacting us. Please share the error details or a screenshot. We’ll review promptly; we'll fix it and add compensation if appropriate. If anything isn’t eligible, I’ll outline the next available option."
P59,R59_B,B,"Thanks for your patience let’s get this sorted. In the app, go to share the error details or a screenshot. As soon as I confirm, I'll fix it and add compensation if appropriate. I’ll keep you updated here until it’s resolved."
P60,R60_A,A,"Happy to help with this. Please open the tracking page and choose 'Hold at location' if shown. We’ll review promptly; we'll request the hold if available. If anything isn’t eligible, I’ll outline the next available option."
P60,R60_B,B,"I hear you and I’ll take care of this. In the app, go to open the tracking page and choose 'Hold at location' if shown. As soon as I confirm, I'll request the hold if available. I’ll keep you updated here until it’s resolved."
